unique_id,street,city,state,zip
LIHTC_CENSUS_0041,2720 BETTE STREET,ALAMEDA,CA,94501
LIHTC_CENSUS_0042,11250 LEE AVE,ADELANTO,CA,92301
LIHTC_CENSUS_0043,11350 LEE AVE,ADELANTO,CA,92301
LIHTC_CENSUS_0044,1230 W INGRAHAM STREET,LOS ANGELES,CA,90017
LIHTC_CENSUS_0045,955 MONTEREY STREET,SAN LUIS OBISP,CA,93401
LIHTC_CENSUS_0046,750 -758 ANITA STREET,CHULA VISTA,CA,91911
LIHTC_CENSUS_0047,3030 FIFTH STREET,DAVIS,CA,95618
LIHTC_CENSUS_0048,115 W. ROSECRANS AVENUE,COMPTON,CA,90222
LIHTC_CENSUS_0049,1200 N. CULVER AVENUE,COMPTON,CA,90222
LIHTC_CENSUS_0050,1654 FIRST STREET,LINCOLN,CA,95648
LIHTC_CENSUS_0051,1660 FIRST STREET,LINCOLN,CA,95648
LIHTC_CENSUS_0052,201 MARKET STREET,ALAMOSA,CO,81101
LIHTC_CENSUS_0053,821 MAROON DR.,ALAMOSA,CO,81101
LIHTC_CENSUS_0054,203 MARKET STREET,ALAMOSA,CO,81101
LIHTC_CENSUS_0055,205 MARKET STREET,ALAMOSA,CO,81101
LIHTC_CENSUS_0056,1405 W 11TH ST,ALAMOSA,CO,81101
LIHTC_CENSUS_0057,1410 W 11TH ST,ALAMOSA,CO,81101
LIHTC_CENSUS_0058,0 CARTER DRIVE,LYONS,CO,80540
LIHTC_CENSUS_0059,2625 VALMONT ROAD,BOULDER,CO,80304
LIHTC_CENSUS_0060,2637 VALMONT ROAD,BOULDER,CO,80304
LIHTC_CENSUS_0061,1380 S. BIRCH ST.,DENVER,CO,80222
LIHTC_CENSUS_0062,1385 S. BIRCH ST.,DENVER,CO,80222
LIHTC_CENSUS_0063,36 38 40 COLUMBUS CIRCLE,EAST HARTFORD,CT,06108
LIHTC_CENSUS_0064,1 BARI COURT,FARMINGTON,CT,06085
LIHTC_CENSUS_0065,50-REAR COLUMBUS CIRCLE,EAST HARTFORD,CT,06108
LIHTC_CENSUS_0066,1 HUNTINGTON STREET,HARTFORD,CT,06105
LIHTC_CENSUS_0067,100 WHISPERING PINES RD,AVON,CT,06001
LIHTC_CENSUS_0068,35 SANDSCREEN RD,AVON,CT,06001
LIHTC_CENSUS_0069,12 MERRELL AVENUE,STAMFORD,CT,06902
LIHTC_CENSUS_0070,14 MERRELL AVENUE,STAMFORD,CT,06902
LIHTC_CENSUS_0071,458 COTTAGE GROVE RD,BLOOMFIELD,CT,06002
LIHTC_CENSUS_0072,470 COTTAGE GROVE RD,BLOOMFIELD,CT,06002
LIHTC_CENSUS_0073,"120 45TH STREET, NE",WASHINGTON,DC,20019
LIHTC_CENSUS_0074,"1201 OAK DRIVE, SE",WASHINGTON,DC,20032
