unit_scope_question_id,development_id,hud_id,pass1_total_member_role,pass1_low_income_member_role,final_total_member_role,final_total_value_source,final_total_member_reason_code,final_low_income_member_role,final_low_income_value_source,final_low_income_member_reason_code,member_notes
UNITQ_DEV_AKA19940005,DEV_AKA19940005,AKA19940005,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19940005,DEV_AKA19940005,AKA19949001,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19960020,DEV_AKA19960020,AKA19960020,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19960020,DEV_AKA19960020,AKA19969001,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19970035,DEV_AKA19970035,AKA19970035,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19970035,DEV_AKA19970035,AKA19979001,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19970040,DEV_AKA19970040,AKA19970040,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA19970040,DEV_AKA19970040,AKA19979007,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20009001,DEV_AKA20009001,AKA20009001,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20009001,DEV_AKA20009001,AKA20009002,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20010005,DEV_AKA20010005,AKA20010005,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20010005,DEV_AKA20010005,AKA20019003,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20010015,DEV_AKA20010015,AKA20010015,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20010015,DEV_AKA20010015,AKA20019009,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20020010,DEV_AKA20020010,AKA20020010,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20020010,DEV_AKA20020010,AKA20029001,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20030035,DEV_AKA20030035,AKA20030035,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20030035,DEV_AKA20030035,AKA20039005,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20039048,DEV_AKA20039048,AKA20039048,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20039048,DEV_AKA20039048,AKA20040020,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20040005,DEV_AKA20040005,AKA20040005,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20040005,DEV_AKA20040005,AKA20049041,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20060015,DEV_AKA20060015,AKA20060015,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20060015,DEV_AKA20060015,AKA20069005,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
