unit_scope_question_id,development_id,hud_id,pass1_total_member_role,pass1_low_income_member_role,final_total_member_role,final_total_value_source,final_total_member_reason_code,final_low_income_member_role,final_low_income_value_source,final_low_income_member_reason_code,member_notes
UNITQ_DEV_AKA20069001,DEV_AKA20069001,AKA20069001,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20069001,DEV_AKA20069001,AKA20069003,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20069004,DEV_AKA20069004,AKA20069004,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20069004,DEV_AKA20069004,AKA20070005,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20070015,DEV_AKA20070015,AKA20070015,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20070015,DEV_AKA20070015,AKA20079027,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20070020,DEV_AKA20070020,AKA20070020,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20070020,DEV_AKA20070020,AKA20079026,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20100005,DEV_AKA20100005,AKA20100005,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20100005,DEV_AKA20100005,AKA20109003,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20130092,DEV_AKA20130092,AKA20130092,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20130092,DEV_AKA20130092,AKA20138001,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20140096,DEV_AKA20140096,AKA20140096,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20140096,DEV_AKA20140096,AKA20158003,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20153001,DEV_AKA20153001,AKA20153001,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20153001,DEV_AKA20153001,AKA20158007,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20166037,DEV_AKA20166037,AKA20166037,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20166037,DEV_AKA20166037,AKA20167038,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20171001,DEV_AKA20171001,AKA20171001,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20171001,DEV_AKA20171001,AKA20176004,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20174001,DEV_AKA20174001,AKA20174001,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20174001,DEV_AKA20174001,AKA20183034,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20183002,DEV_AKA20183002,AKA20183002,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20183002,DEV_AKA20183002,AKA20185039,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20201002,DEV_AKA20201002,AKA20201002,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20201002,DEV_AKA20201002,AKA20203005,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20201003,DEV_AKA20201003,AKA20201003,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_AKA20201003,DEV_AKA20201003,AKA20203006,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19870025,DEV_ALA19870025,ALA19870025,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19870025,DEV_ALA19870025,ALA20150004,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19950097,DEV_ALA19950097,ALA19950097,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19950097,DEV_ALA19950097,ALA20230004,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19960057,DEV_ALA19960057,ALA19960057,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19960057,DEV_ALA19960057,ALA20200001,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19990032,DEV_ALA19990032,ALA19990032,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA19990032,DEV_ALA19990032,ALA20240001,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA20150006,DEV_ALA20150006,ALA20150006,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ALA20150006,DEV_ALA20150006,ALA20150008,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19960035,DEV_ARA19960035,ARA19960035,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19960035,DEV_ARA19960035,ARA20192011,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19980690,DEV_ARA19980690,ARA19980690,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19980690,DEV_ARA19980690,ARA19989006,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19980690,DEV_ARA19980690,ARA19989016,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19990028,DEV_ARA19990028,ARA19990028,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19990028,DEV_ARA19990028,ARA19999722,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19999011,DEV_ARA19999011,ARA19999011,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19999011,DEV_ARA19999011,ARA19999016,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA19999011,DEV_ARA19999011,ARA19999026,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20000726,DEV_ARA20000726,ARA20000726,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20000726,DEV_ARA20000726,ARA20183009,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20010080,DEV_ARA20010080,ARA20010080,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20010080,DEV_ARA20010080,ARA20019024,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20070777,DEV_ARA20070777,ARA20070777,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20070777,DEV_ARA20070777,ARA20079798,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20080025,DEV_ARA20080025,ARA20080025,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20080025,DEV_ARA20080025,ARA20089005,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20090789,DEV_ARA20090789,ARA20090789,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20090789,DEV_ARA20090789,ARA20099020,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110578,DEV_ARA20110578,ARA20110578,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110578,DEV_ARA20110578,ARA20110823,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110809,DEV_ARA20110809,ARA20110809,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110809,DEV_ARA20110809,ARA20119903,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110818,DEV_ARA20110818,ARA20110818,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110818,DEV_ARA20110818,ARA20118032,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110824,DEV_ARA20110824,ARA20110824,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20110824,DEV_ARA20110824,ARA20119003,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120928,DEV_ARA20120928,ARA20120928,candidate_representative,unresolved_pending_outside_read,select_representative,reconciled_episode,selected_reporting_representative,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120928,DEV_ARA20120928,ARA20125015,candidate_duplicate,unresolved_pending_outside_read,exclude_duplicate,none,duplicate_reporting_excluded,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120939,DEV_ARA20120939,ARA20120939,unresolved_pending_outside_read,candidate_representative,evidence_only,none,no_reliable_value_after_search,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120939,DEV_ARA20120939,ARA20128010,unresolved_pending_outside_read,candidate_duplicate,evidence_only,none,no_reliable_value_after_search,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120946,DEV_ARA20120946,ARA20120946,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20120946,DEV_ARA20120946,ARA20127030,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20129953,DEV_ARA20129953,ARA20129953,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20129953,DEV_ARA20129953,ARA20140020,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130003,DEV_ARA20130003,ARA20130003,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130003,DEV_ARA20130003,ARA20138006,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130009,DEV_ARA20130009,ARA20130009,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130009,DEV_ARA20130009,ARA20138021,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130629,DEV_ARA20130629,ARA20130629,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20130629,DEV_ARA20130629,ARA20138646,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20134012,DEV_ARA20134012,ARA20134012,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20134012,DEV_ARA20134012,ARA20138023,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20147051,DEV_ARA20147051,ARA20147051,unresolved_pending_outside_read,candidate_representative,evidence_only,none,no_reliable_value_after_search,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20147051,DEV_ARA20147051,ARA20185224,unresolved_pending_outside_read,candidate_duplicate,evidence_only,none,no_reliable_value_after_search,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20150002,DEV_ARA20150002,ARA20150002,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20150002,DEV_ARA20150002,ARA20152005,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20160002,DEV_ARA20160002,ARA20160002,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20160002,DEV_ARA20160002,ARA20163002,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20160014,DEV_ARA20160014,ARA20160014,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20160014,DEV_ARA20160014,ARA20161013,unresolved_pending_outside_read,unresolved_pending_outside_read,evidence_only,none,no_reliable_value_after_search,evidence_only,none,no_reliable_value_after_search,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20171007,DEV_ARA20171007,ARA20171007,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20171007,DEV_ARA20171007,ARA20172015,candidate_duplicate,candidate_duplicate,exclude_duplicate,none,duplicate_reporting_excluded,exclude_duplicate,none,duplicate_reporting_excluded,Episode role assigned independently for total and low-income units.
UNITQ_DEV_ARA20173016,DEV_ARA20173016,ARA20173016,candidate_representative,candidate_representative,select_representative,reconciled_episode,selected_reporting_representative,select_representative,reconciled_episode,selected_reporting_representative,Episode role assigned independently for total and low-income units.
