column,documented_name,documented_type,domain_rule,allowed_values,valid_min,valid_max,role
hud_id,HUD_ID,A,hud_id,,,,identifier
project,PROJECT,A,none,,,,identity
proj_add,PROJ_ADD,A,none,,,,location
proj_cty,PROJ_CTY,A,none,,,,location
proj_st,PROJ_ST,A,none,,,,location
proj_zip,PROJ_ZIP,A,none,,,,location
state_id,STATE_ID,A,none,,,,identifier
latitude,LATITUDE,N,number,,,,location
longitude,LONGITUD,N,number,,,,location
place1990,PLACE1990,A,none,,,,geography
place2000,PLACE2000,A,none,,,,geography
place2010,PLACE2010,A,none,,,,geography
place2020,PLACE2020,A,none,,,,geography
fips1990,FIPS1990,A,fips_tract,,,,geography
fips2000,FIPS2000,A,fips_tract,,,,geography
fips2010,FIPS2010,A,fips_tract,,,,geography
fips2020,FIPS2020,A,fips_tract,,,,geography
st2020,,undocumented,undocumented,,,,geography
cnty2020,,undocumented,undocumented,,,,geography
trct2020,,undocumented,undocumented,,,,geography
scattered_site_cd,SCATTERED,N,exact,1|2,,,project_characteristic
resyndication_cd,RESYND,N,exact,1|2,,,project_characteristic
allocamt,ALLOCAMT,N,number,,,,funding
n_units,N_UNITS,N,number,,,,units
li_units,LI_UNITS,N,number,,,,units
n_0br,N_0BR,N,number,,,,units
n_1br,N_1BR,N,number,,,,units
n_2br,N_2BR,N,number,,,,units
n_3br,N_3BR,N,number,,,,units
n_4br,N_4BR,N,number,,,,units
aff_period,AFF_PERIOD,N,exact,1|2|3,,,affordability
aff_yrs,AFF_YRS,N,number,,,,affordability
inc_ceil,INC_CEIL,N,exact,1|2|3|9,,,affordability
low_ceil,LOW_CEIL,N,exact,1|2,,,affordability
ceilunit,CEILUNIT,N,number,,,,units
yr_pis,YR_PIS,A,year_with_sentinels,8888|9999,1987,2023,year
yr_alloc,YR_ALLOC,A,year_with_sentinels,8888|9999,1987,2023,year
non_prof,NON_PROF,N,exact,1|2,,,program
basis,BASIS,N,exact,1|2,,,program
bond,BOND,N,exact,1|2,,,program
mff_ra,MFF_RA,N,exact,1|2,,,program
fmha_514,FMHA_514,N,exact,1|2,,,program
fmha_515,FMHA_515,N,exact,1|2,,,program
fmha_538,FMHA_538,N,exact,1|2,,,program
home,HOME,N,exact,1|2,,,program
home_amt,HOME_AMT,N,number,,,,funding
tcap,TCAP,N,exact,1|2,,,program
tcap_amt,TCAP_AMT,N,number,,,,funding
cdbg,CDBG,N,exact,1|2,,,program
cdbg_amt,CDBG_AMT,N,number,,,,funding
htf,HTF,N,exact,1|2,,,program
htf_amt,HTF_AMT,N,number,,,,funding
fha,FHA,N,exact,1|2,,,program
hopevi,HOPEVI,N,exact,1|2,,,program
hpvi_amt,HPVI_AMT,N,number,,,,funding
tcep,TCEP,N,exact,1|2,,,program
tcep_amt,TCEP_AMT,N,number,,,,funding
rad,RAD,N,exact,1|2,,,program
qozf,QOZF,N,exact,1|2,,,program
qozf_amt,QOZF_AMT,N,number,,,,funding
rentassist,RENTASST,N,exact,1|2|3|4|5,,,program
trgt_pop,TRGT_POP,N,exact,1|2,,,target_population
trgt_fam,TRGT_FAM,A,exact,0|1|2,,,target_population
trgt_eld,TRGT_ELD,A,exact,0|1|2,,,target_population
trgt_dis,TRGT_DIS,A,exact,0|1|2,,,target_population
trgt_hml,TRGT_HML,A,exact,0|1|2,,,target_population
trgt_oth,TRGT_OTH,A,exact,0|1|2,,,target_population
trgt_spc,TRGT_SPC,A,none,,,,target_population
type,TYPE,N,exact,1|2|3|4,,,project_characteristic
credit,CREDIT,N,exact,1|2|3|4,,,project_characteristic
n_unitsr,N_UNITSR,N,number,,,,units
li_unitr,LI_UNITR,N,number,,,,units
metro,METRO,N,exact,1|2|3,,,geography
dda,DDA,N,exact,0|1|2|3|4,,,geography
qct,QCT,N,exact,1|2,,,geography
nonprog,NONPROG,A,exact,1,,,status
nlm_reason,NLM_REASON,undocumented,exact,1|2|3,,,status
nlm_spc,NLM_SPC,undocumented,none,,,,status
datanote,DATANOTE,A,none,,,,status
record_stat,RECORD_STAT,A,exact,N|U|X,,,status
