development_id,development_anchor_hud_id,hud_id,episode_number,project,proj_add,proj_cty,proj_st,state_id,yr_pis,yr_alloc,n_unitsr,li_unitr,final_decision,final_reason_code,member_action,adjudicated_development_id,adjudicated_development_anchor_hud_id
DEV_ARA20134012,ARA20134012,ARA20134012,1,SOUTHERN CROSSING FKA CROSSROADS,1507 T.L. KIMBRELL,PINE BLUFF,AR,890,2013,2011,65,48,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_ARA20134012,ARA20134012
DEV_ARA20134012,ARA20134012,ARA20138023,2,SOUTHERN CROSSING FKA CROSSROADS,1801 T.L. KIMBRELL,PINE BLUFF,AR,917,2013,2011,65,48,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_ARA20134012,ARA20134012
DEV_AZA19900025,AZA19900025,AZA19900025,1,RAINBOW LAKE APTS,1921 RAINBOW LAKE PL,LAKESIDE,AZ,TC-0480,1990,1990,35,35,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_AZA19900025,AZA19900025
DEV_AZA19900025,AZA19900025,AZA20119036,2,RAINBOW LAKE APTS,1921 RAINBOW LAKE PL,LAKESIDE,AZ,TC-0480,2011,2009,36,36,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_AZA19900025,AZA19900025
DEV_CAA19880285,CAA19880285,CAA19880285,1,NOBLE CREEK APTS,775 XENIA AVE,BEAUMONT,CA,CA-88-017,1988,1988,54,54,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CAA19880285,CAA19880285
DEV_CAA19880285,CAA19880285,CAA20050737,2,NOBLE CREEK APTS,755 XENIA AVE,BEAUMONT,CA,CA-04-913,2005,2004,108,107,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CAA19880285,CAA19880285
DEV_CAA19990715,CAA19990715,CAA19990715,1,WEST CAPITOL COURTYARDS II,2455 W CAPITOL AVE,WEST SACRAMENTO,CA,CA-98-918,1999,1998,74,74,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CAA19990715,CAA19990715
DEV_CAA19990715,CAA19990715,CAA20150097,2,WEST CAPITOL COURTYARDS II,2455 WEST CAPITOL AVENUE,WEST SACRAMENTO,CA,CA-13-124,2015,2013,75,74,accept,same_property_changed_or_component_totals,retain_provisional_group,DEV_CAA19990715,CAA19990715
DEV_CAA20132004,CAA20132004,CAA20132004,1,SAN FERNANDO COMMUNITY HOUSING,133 PARK AVENUE,SAN FERNANDO,CA,CA-11-903,2013,2011,62,61,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_CAA20132004,CAA20132004
DEV_CAA20132004,CAA20132004,CAA20138490,2,SAN FERNANDO COMMUNITY HOUSING,133 PARK AVE,SAN FERNANDO,CA,CA-11-903,2013,2011,62,61,accept,duplicate_or_parallel_financing_records,retain_provisional_group,DEV_CAA20132004,CAA20132004
