Rows: 84415
Key: tract_geoid complete and unique
Saved-file MD5: aa3f0a0a22ee9eb040245351a91a0097
column	type	nonmissing	distinct	min	max
tract_geoid	integer64	84415	84415	1001020100	56045951300
state_fips	integer	84415	51	1	56
tract_name	character	84415	84415	NA	NA
source	character	84415	1	NA	NA
period_start	integer	84415	1	2018	2018
period_end	integer	84415	1	2022	2022
geography_vintage	integer	84415	1	2022	2022
income_dollar_year	integer	84415	1	2022	2022
housing_dollar_year	integer	84415	1	2022	2022
census_sentinel_cells	integer	84415	7	0	6
population	integer	84415	8570	0	38907
population_moe	integer	84303	1978	1	5013
nh_white	integer	84415	6872	0	18201
nh_white_moe	integer	84415	1562	1	4034
nh_black	integer	84415	4150	0	8600
nh_black_moe	integer	84415	1435	1	3266
nh_asian	integer	84415	2862	0	10625
nh_asian_moe	integer	84415	1062	1	2288
hispanic	integer	84415	5215	0	17365
hispanic_moe	integer	84370	1672	1	3768
median_household_income	numeric	82497	48346	3388	250000
median_household_income_moe	integer	82497	31975	149	198866
median_household_income_raw	integer	84415	48348	-666666666	250001
median_household_income_annotation	character	1918	4	NA	NA
occupied_units	integer	84415	3734	0	8988
occupied_units_moe	integer	84415	700	3	1097
owner_occupied	integer	84415	3024	0	8025
owner_occupied_moe	integer	84415	635	2	935
renter_occupied	integer	84415	2596	0	8209
renter_occupied_moe	integer	84415	641	2	953
housing_units	integer	84415	4111	0	12980
housing_units_moe	integer	84415	698	2	1096
poverty_universe	integer	84415	8535	0	28390
poverty_universe_moe	integer	84415	1954	1	5013
poverty_count	integer	84415	2528	0	5760
poverty_count_moe	integer	84415	1330	1	3152
median_gross_rent	integer	78413	3087	129	3500
median_gross_rent_moe	integer	78413	1743	2	3259
median_gross_rent_raw	integer	84415	3089	-666666666	3501
median_gross_rent_annotation	character	6002	4	NA	NA
median_home_value	numeric	80824	11170	10100	2e+06
median_home_value_moe	integer	80824	50003	727	1723303
median_home_value_raw	integer	84415	11172	-666666666	2000001
median_home_value_annotation	character	3591	4	NA	NA
population_25_plus	integer	84415	6251	0	18394
population_25_plus_moe	integer	84415	1316	1	2502
bachelors	integer	84415	2454	0	6945
bachelors_moe	integer	84415	828	1	1498
masters	integer	84415	1618	0	4082
masters_moe	integer	84415	654	1	1195
professional	integer	84415	765	0	1770
professional_moe	integer	84415	452	1	1121
doctorate	integer	84415	622	0	1529
doctorate_moe	integer	84415	413	1	967
college_graduates	integer	84415	3947	0	11324
college_graduates_moe	numeric	84415	59270	15.7162336455017	1762.17933253117
education_definition	character	84415	1	NA	NA
race_definition	character	84415	1	NA	NA
rent_universe	character	84415	1	NA	NA
home_value_universe	character	84415	1	NA	NA
