Rows: 84414
Key: tract_geoid complete and unique
Saved-file MD5: 01d9ad2503571330b8176cb27ea35f85
column	type	nonmissing	distinct	min	max
tract_geoid	integer64	84414	84414	1001020100	56045951300
state_fips	integer	84414	51	1	56
tract_name	character	84414	84414	NA	NA
source	character	84414	1	NA	NA
period_start	integer	84414	1	2017	2017
period_end	integer	84414	1	2021	2021
geography_vintage	integer	84414	1	2021	2021
income_dollar_year	integer	84414	1	2021	2021
housing_dollar_year	integer	84414	1	2021	2021
census_sentinel_cells	integer	84414	7	0	6
population	integer	84414	8458	0	38223
population_moe	integer	84301	1970	2	5156
nh_white	integer	84414	6873	0	20174
nh_white_moe	integer	84414	1566	1	4167
nh_black	integer	84414	4172	0	8694
nh_black_moe	integer	84414	1444	2	3351
nh_asian	integer	84414	2843	0	9745
nh_asian_moe	integer	84414	1042	2	2434
hispanic	integer	84414	5183	0	16223
hispanic_moe	integer	84370	1666	2	3845
median_household_income	numeric	82607	47611	3416	250000
median_household_income_moe	integer	82607	30217	104	161275
median_household_income_raw	integer	84414	47613	-666666666	250001
median_household_income_annotation	character	1807	4	NA	NA
occupied_units	integer	84414	3639	0	8419
occupied_units_moe	integer	84414	693	3	1116
owner_occupied	integer	84414	2930	0	6503
owner_occupied_moe	integer	84414	634	2	922
renter_occupied	integer	84414	2537	0	8177
renter_occupied_moe	integer	84414	633	2	939
housing_units	integer	84414	4020	0	13092
housing_units_moe	integer	84414	690	2	1139
poverty_universe	integer	84414	8444	0	27579
poverty_universe_moe	integer	84414	1947	1	5156
poverty_count	integer	84414	2540	0	4748
poverty_count_moe	integer	84414	1320	2	3063
median_gross_rent	integer	78678	3035	186	3500
median_gross_rent_moe	integer	78678	1651	2	2984
median_gross_rent_raw	integer	84414	3037	-666666666	3501
median_gross_rent_annotation	character	5736	4	NA	NA
median_home_value	numeric	80971	10212	10000	2e+06
median_home_value_moe	integer	80971	47372	489	1685337
median_home_value_raw	integer	84414	10214	-666666666	2000001
median_home_value_annotation	character	3443	4	NA	NA
population_25_plus	integer	84414	6146	0	17537
population_25_plus_moe	integer	84413	1351	2	3310
bachelors	integer	84414	2393	0	6300
bachelors_moe	integer	84414	825	1	1567
masters	integer	84414	1577	0	4325
masters_moe	integer	84414	644	2	1314
professional	integer	84414	754	0	1702
professional_moe	integer	84414	458	2	1035
doctorate	integer	84414	618	0	1452
doctorate_moe	integer	84414	411	1	972
college_graduates	integer	84414	3864	0	11259
college_graduates_moe	numeric	84414	58636	15.8745078663875	2041.76541257805
education_definition	character	84414	1	NA	NA
race_definition	character	84414	1	NA	NA
rent_universe	character	84414	1	NA	NA
home_value_universe	character	84414	1	NA	NA
