Rows: 73056
Key: tract_geoid complete and unique
Saved-file MD5: 13db9c99b05021359888d4c786c9e682
column	type	nonmissing	distinct	min	max
tract_geoid	integer64	73056	73056	1001020100	56045951300
state_fips	integer	73056	51	1	56
tract_name	character	73056	73056	NA	NA
source	character	73056	1	NA	NA
period_start	integer	73056	1	2012	2012
period_end	integer	73056	1	2016	2016
geography_vintage	integer	73056	1	2016	2016
income_dollar_year	integer	73056	1	2016	2016
housing_dollar_year	integer	73056	1	2016	2016
census_sentinel_cells	integer	73056	7	0	6
population	integer	73056	9713	0	61133
population_moe	integer	72922	1325	4	2793
nh_white	integer	73056	8038	0	37457
nh_white_moe	integer	73056	1081	2	3034
nh_black	integer	73056	4395	0	18513
nh_black_moe	integer	73056	1018	2	2465
nh_asian	integer	73056	2761	0	12452
nh_asian_moe	integer	73056	774	2	1550
hispanic	integer	73056	5502	0	27381
hispanic_moe	integer	73011	1180	2	2611
median_household_income	numeric	72037	40864	3250	249597
median_household_income_moe	integer	72037	18915	546	181231
median_household_income_raw	integer	73056	40865	-666666666	250001
median_household_income_annotation	character	1019	3	NA	NA
occupied_units	integer	73056	4304	0	20474
occupied_units_moe	integer	73056	446	3	736
owner_occupied	integer	73056	3390	0	19532
owner_occupied_moe	integer	73056	470	1	727
renter_occupied	integer	73056	2713	0	8070
renter_occupied_moe	integer	73056	454	3	771
housing_units	integer	73056	4792	0	26043
housing_units_moe	integer	73056	389	3	710
poverty_universe	integer	73056	9696	0	60942
poverty_universe_moe	integer	73056	1300	4	2835
poverty_count	integer	73056	3100	0	9075
poverty_count_moe	integer	73056	1130	3	2575
median_gross_rent	integer	71003	2718	114	3500
median_gross_rent_moe	integer	71003	1359	6	3039
median_gross_rent_raw	integer	73056	2720	-666666666	3501
median_gross_rent_annotation	character	2053	4	NA	NA
median_home_value	numeric	71000	8290	10200	2e+06
median_home_value_moe	integer	71000	35441	1131	1186602
median_home_value_raw	integer	73056	8292	-666666666	2000001
median_home_value_annotation	character	2056	4	NA	NA
population_25_plus	integer	73056	7086	0	38145
population_25_plus_moe	integer	73054	917	2	2776
bachelors	integer	73056	2598	0	13679
bachelors_moe	integer	73056	661	2	1281
masters	integer	73056	1555	0	6743
masters_moe	integer	73056	482	2	1012
professional	integer	73056	750	0	1944
professional_moe	integer	73056	329	2	646
doctorate	integer	73056	592	0	1462
doctorate_moe	integer	73056	274	2	506
college_graduates	integer	73056	4030	0	22861
college_graduates_moe	numeric	73056	45127	12.8452325786651	1663.27538309205
education_definition	character	73056	1	NA	NA
race_definition	character	73056	1	NA	NA
rent_universe	character	73056	1	NA	NA
home_value_universe	character	73056	1	NA	NA
