Rows: 73056
Key: tract_geoid complete and unique
Saved-file MD5: 4f78cb30753789b1aa771bdae14844a6
column	type	nonmissing	distinct	min	max
tract_geoid	integer64	73056	73056	1001020100	56045951300
state_fips	integer	73056	51	1	56
tract_name	character	73056	73056	NA	NA
source	character	73056	1	NA	NA
period_start	integer	73056	1	2015	2015
period_end	integer	73056	1	2019	2019
geography_vintage	integer	73056	1	2019	2019
income_dollar_year	integer	73056	1	2019	2019
housing_dollar_year	integer	73056	1	2019	2019
census_sentinel_cells	integer	73056	7	0	6
population	integer	73056	10173	0	72041
population_moe	integer	72925	1439	2	3713
nh_white	integer	73056	8226	0	42463
nh_white_moe	integer	73056	1138	2	2501
nh_black	integer	73056	4436	0	18936
nh_black_moe	integer	73056	1111	2	2427
nh_asian	integer	73056	2880	0	19898
nh_asian_moe	integer	73056	840	1	1839
hispanic	integer	73056	5646	0	34439
hispanic_moe	integer	73010	1255	2	2583
median_household_income	numeric	71916	41954	2744	250000
median_household_income_moe	integer	71916	21063	338	178862
median_household_income_raw	integer	73056	41956	-666666666	250001
median_household_income_annotation	character	1140	4	NA	NA
occupied_units	integer	73056	4563	0	21209
occupied_units_moe	integer	73056	484	2	790
owner_occupied	integer	73056	3616	0	20222
owner_occupied_moe	integer	73056	518	1	891
renter_occupied	integer	73056	2820	0	8990
renter_occupied_moe	integer	73056	503	2	826
housing_units	integer	73056	5037	0	26596
housing_units_moe	integer	73056	427	2	758
poverty_universe	integer	73056	10123	0	71858
poverty_universe_moe	integer	73056	1412	2	3713
poverty_count	integer	73056	2916	0	9877
poverty_count_moe	integer	73056	1149	2	2091
median_gross_rent	integer	70710	2876	128	3497
median_gross_rent_moe	integer	70710	1421	4	2837
median_gross_rent_raw	integer	73056	2877	-666666666	3501
median_gross_rent_annotation	character	2346	3	NA	NA
median_home_value	numeric	70868	9322	10300	1996800
median_home_value_moe	integer	70868	37405	1474	1315510
median_home_value_raw	integer	73056	9324	-666666666	2000001
median_home_value_annotation	character	2188	4	NA	NA
population_25_plus	integer	73056	7492	0	42308
population_25_plus_moe	integer	73055	1014	2	3856
bachelors	integer	73056	2819	0	14190
bachelors_moe	integer	73056	705	2	1436
masters	integer	73056	1729	0	9521
masters_moe	integer	73056	539	2	1200
professional	integer	73056	790	0	2756
professional_moe	integer	73056	343	2	838
doctorate	integer	73056	637	0	2362
doctorate_moe	integer	73056	291	1	645
college_graduates	integer	73056	4371	0	27163
college_graduates_moe	numeric	73056	47879	11.6189500386223	1983.11346120185
education_definition	character	73056	1	NA	NA
race_definition	character	73056	1	NA	NA
rent_universe	character	73056	1	NA	NA
home_value_universe	character	73056	1	NA	NA
