Rows: 73056
Key: tract_geoid complete and unique
Saved-file MD5: ba03788c3a68d20648485a094ac85f1c
column	type	nonmissing	distinct	min	max
tract_geoid	integer64	73056	73056	1001020100	56045951300
state_fips	integer	73056	51	1	56
tract_name	character	73056	73056	NA	NA
source	character	73056	1	NA	NA
period_start	integer	73056	1	2013	2013
period_end	integer	73056	1	2017	2017
geography_vintage	integer	73056	1	2017	2017
income_dollar_year	integer	73056	1	2017	2017
housing_dollar_year	integer	73056	1	2017	2017
census_sentinel_cells	integer	73056	6	0	6
population	integer	73056	9871	0	65528
population_moe	integer	72922	1352	4	2823
nh_white	integer	73056	8062	0	38684
nh_white_moe	integer	73056	1099	2	2928
nh_black	integer	73056	4401	0	16655
nh_black_moe	integer	73056	1057	2	2049
nh_asian	integer	73056	2822	0	13712
nh_asian_moe	integer	73056	790	2	1771
hispanic	integer	73056	5576	0	28683
hispanic_moe	integer	73009	1216	2	2680
median_household_income	numeric	72010	41256	3709	249750
median_household_income_moe	integer	72010	19654	728	153365
median_household_income_raw	integer	73056	41258	-666666666	250001
median_household_income_annotation	character	1046	4	NA	NA
occupied_units	integer	73056	4380	0	21429
occupied_units_moe	integer	73056	456	2	860
owner_occupied	integer	73056	3462	0	20473
owner_occupied_moe	integer	73056	491	2	815
renter_occupied	integer	73056	2740	0	8039
renter_occupied_moe	integer	73056	479	3	778
housing_units	integer	73056	4861	0	26526
housing_units_moe	integer	73056	397	3	788
poverty_universe	integer	73056	9857	0	65332
poverty_universe_moe	integer	73056	1335	4	2823
poverty_count	integer	73056	3047	0	9440
poverty_count_moe	integer	73056	1127	2	2501
median_gross_rent	integer	70949	2756	126	3500
median_gross_rent_moe	integer	70949	1393	5	2666
median_gross_rent_raw	integer	73056	2758	-666666666	3501
median_gross_rent_annotation	character	2107	4	NA	NA
median_home_value	numeric	70965	8597	10400	1998300
median_home_value_moe	integer	70965	36269	1689	1365107
median_home_value_raw	integer	73056	8599	-666666666	2000001
median_home_value_annotation	character	2091	4	NA	NA
population_25_plus	integer	73056	7224	0	39486
population_25_plus_moe	integer	73054	962	2	1598
bachelors	integer	73056	2668	0	13767
bachelors_moe	integer	73056	666	3	1443
masters	integer	73056	1621	0	7767
masters_moe	integer	73056	497	1	1022
professional	integer	73056	761	0	1974
professional_moe	integer	73056	334	2	694
doctorate	integer	73056	608	0	1408
doctorate_moe	integer	73056	280	1	526
college_graduates	integer	73056	4142	0	24141
college_graduates_moe	numeric	73056	46168	9.48683298050514	1712.92118908022
education_definition	character	73056	1	NA	NA
race_definition	character	73056	1	NA	NA
rent_universe	character	73056	1	NA	NA
home_value_universe	character	73056	1	NA	NA
