single_address_question_id,development_id,development_name,first_pis_year,n_units_development,review_cluster_id,development_anchor_hud_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,member_action,shared_geocoding_query_decision,source_rows_changed
SAQ_0008,DEV_AKA20183002,MUNAQSRI APTS,2018,17,SAC_00011,AKA20183002,DEV_AKA20183002,AKA20183002,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0008,DEV_AKA20185039,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",2018,17,SAC_00011,AKA20185039,DEV_AKA20183002,AKA20183002,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0009,DEV_AKA20040005,GATEWAY APTS,2004,20,SAC_00012,AKA20040005,DEV_AKA20040005,AKA20040005,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0009,DEV_AKA20049041,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",2004,20,SAC_00012,AKA20049041,DEV_AKA20040005,AKA20040005,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0010,DEV_AKA20010005,BAYVIEW APTS. ASSOC. LP,2001,18,SAC_00013,AKA20010005,DEV_AKA20010005,AKA20010005,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0010,DEV_AKA20019003,BAYVIEW,2001,18,SAC_00013,AKA20019003,DEV_AKA20010005,AKA20010005,2,merge_to_review_cluster,not_approved,FALSE
SAQ_0011,DEV_ALA19960017,CORNERSTONE APTS,1996,56,SAC_00014,ALA19960017,DEV_ALA19960017,ALA19960017,1,retain_current_development,not_approved,FALSE
SAQ_0011,DEV_ALA20010040,CORNERSTONE PLACE,2001,48,SAC_00015,ALA20010040,DEV_ALA20010040,ALA20010040,1,retain_current_development,not_approved,FALSE
SAQ_0012,DEV_ALA19960177,PINES APTS I,1996,32,SAC_00016,ALA19960177,DEV_ALA19960177,ALA19960177,1,retain_current_development,not_approved,FALSE
SAQ_0012,DEV_ALA19990140,THE PINES APTS II,1999,24,SAC_00017,ALA19990140,DEV_ALA19990140,ALA19990140,1,retain_current_development,not_approved,FALSE
SAQ_0013,DEV_ALA19970012,BRANCH APTS AT CARSON SPRINGS I,1997,88,SAC_00018,ALA19970012,DEV_ALA19970012,ALA19970012,1,retain_current_development,not_approved,FALSE
SAQ_0013,DEV_ALA19980017,THE BRANCH AT CARSON SPRINGS II,1998,56,SAC_00019,ALA19980017,DEV_ALA19980017,ALA19980017,1,retain_current_development,not_approved,FALSE
SAQ_0014,DEV_ALA20050048,HUNTER RIDGE APTS PHASE I,2005,200,SAC_00020,ALA20050048,DEV_ALA20050048,ALA20050048,1,retain_current_development,not_approved,FALSE
