place_geoid,locus_state,city_key
1304000,ga,atlanta
2507000,ma,boston
1714000,il,chicago
4835000,tx,houston
0644000,ca,losangeles
3651000,ny,newyorkcity
0667000,ca,sanfrancisco
5363000,wa,seattle
