source_file,source_url,retrieved_on,bytes,source_sha256
androscoggin.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/androscoggin.pdf?sfvrsn=9328a215_25,2026-08-12,281439,745f174f14c64b79deee48dde5fa4597e8d366a1460b3a369d8b586a8dba5e77
aroostook.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/aroostooksubsidizedhousing.pdf?sfvrsn=eb28a215_21,2026-08-12,412060,f1d22c512e34bdafb4e34ac4ea05bf3e44217fbe49a447f5cbea0179b5d4f386
cumberland.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/cumberland4253e5fbdce26f639ad9ff0000e8bc8d.pdf?sfvrsn=e328a215_33,2026-08-12,562636,7e37737a701cf5acbfa049a252dae3e63208dca498340cae6492768d97d9e0ad
franklin.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/franklinsubsidizedhousing.pdf?sfvrsn=b728a215_17,2026-08-12,219501,51ea226dbca0914ef314dd9ae9d6069a36229d5ffecd567f679f261b5b4ce33c
hancock.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/hancock.pdf?sfvrsn=9728a215_25,2026-08-12,264193,a02089628e363d15f618b467f0e581234a253db01e43e18ade57a95959e80497
kennebec.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/kennebec.pdf?sfvrsn=e728a215_20,2026-08-12,318449,6549fe5499dc45f94040284908ec001ab11500ff9f938bdef2d140c33b61d979
knox.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/knoxsubsidizedhousing42b7f0fbdce26f639ad9ff0100e8bc8d.pdf?sfvrsn=8728a215_22,2026-08-12,230016,42db4d3470a959064eb4c9709aea0d7edeacf89f3418a7778870052bff83cea6
lincoln.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/lincolnsubsidizedhousing.pdf?sfvrsn=bb28a215_16,2026-08-12,210115,fcb92506bdbb1dd62ea0e9243119c3b78da320ffd71ea7041a100be902c03662
mainehousing_subsidized_housing.html,https://www.mainehousing.org/programs-services/rental/subsidized-housing,2026-08-12,32584,4f2160a82d0feb5564b6b2ff8d29128eb448d399d796d7a47bb3623f5bc00d28
oxford.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/oxfordsubsidizedhousing.pdf?sfvrsn=ef28a215_19,2026-08-12,266844,0007fa8d1dddb80da6dec9e306e60c3494f9d54ae3311ff95c75e4a3066456d1
penobscot.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/penobscotsubsidizedhousing.pdf?sfvrsn=9f28a215_19,2026-08-12,446115,a0cecf2656db7f2df43f2e0c4162fbfa52fcca09f7a23376db397d18888dc2d1
piscataquis.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/piscataquissubsidizedhousing.pdf?sfvrsn=8b28a215_18,2026-08-12,214467,297fca7c47b5cbde9374a9d9a915e9d08450193c539caf63e2188e5e4ee837b7
sagadahoc.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/sagadahoc.pdf?sfvrsn=9b28a215_29,2026-08-12,224801,ae6c7d57a2fa9ef62700d5e1880ef01a9a85a929db7e7f3d036281fd97556bcc
somerset.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/somerset.pdf?sfvrsn=8f28a215_20,2026-08-12,231244,f994d2210093bbb99f3927d0e26e1861c0d4c14de64f4d0a678697e155ed01b8
waldo.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/waldo.pdf?sfvrsn=b328a215_19,2026-08-12,226305,9980cdfe450f60c7b4fda25909aaac7b92f2068ed13d6c48416ccf0e10b2d87f
washington.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/washingtonsubsidizedhousing.pdf?sfvrsn=8328a215_18,2026-08-12,266961,f03d6c4a4401ba28200aad94213b3e91a0184f83bf011690e9cdb71293b9171a
york.pdf,https://www.mainehousing.org/docs/default-source/rental/subsidized-housing-lists/york-12.27.24.pdf?sfvrsn=bf28a215_32,2026-08-12,405858,77bbdf7321f50d1b0536be850b54b1941c6d4e2302a7cbf83c07cae1f5cf063f
