Rows: 24
Key: place_geoid, variable complete and unique
Saved-file MD5: 949cbdcd5e6d1ae5bad0d91cd5b5fc8f
column	type	nonmissing	distinct	min	max
place_geoid	integer	24	8	644000	5363000
city_name	character	24	8	NA	NA
variable	character	24	3	NA	NA
mean	numeric	24	24	0.0827849309560143	11.4096627020059
sd	numeric	24	24	0.11558892261424	0.633404425772876
tract_years	integer	24	8	5009	77141
natural_change	numeric	24	2	0.0953101798043249	0.1
sd_in_percent_units	numeric	24	24	11.558892261424	88.4013658331148
