Rows: 195939
Key: place_geoid, placement_year, tract_geoid complete and unique
Saved-file MD5: 708706ec64b15ecab774325e98f77a34
column	type	nonmissing	distinct	min	max
place_geoid	integer	195939	8	644000	5363000
placement_year	integer	195939	36	1987	2022
tract_geoid	integer64	195939	9419	6001427500	53033026700
boundary_year	integer	195939	5	1980	2020
source	character	195939	2	NA	NA
period_start	integer	195939	15	1980	2017
period_end	integer	195939	15	1980	2021
homeowner_share	numeric	192739	75164	0	1
nh_black_share	numeric	193524	75162	0	1
median_household_income_2024	numeric	191734	76302	5334.9667896679	338182.454664914
housing_units	integer	195939	5573	0	21705
occupied_units	integer	195799	5115	0	20705
vacant_units	integer	195799	1270	0	2472
vacancy_share	numeric	192848	64147	0	1
city_name	character	195939	8	NA	NA
city_overlap_share	numeric	195802	8487	9.71418269405823e-25	1
interior_tract	logical	195939	2	NA	NA
tract_area	numeric	195802	22546	8298.57320585102	1494502904.57605
baseline_age_years	integer	195939	10	1	10
era	character	195939	1	NA	NA
new_projects	integer	195939	6	0	5
homeowner_eligible	logical	195939	2	NA	NA
analysis_included	logical	195939	2	NA	NA
log_income	numeric	191734	76228	8.58203793872452	12.7313408355229
housing_units_per_sq_km	numeric	195802	81757	0	199793.38120811
log_housing_density	numeric	192984	81756	-2.16860198699548	12.2050390175613
controls_included	logical	195939	2	NA	NA
