Rows: 28196
Key: hud_id complete and unique
Saved-file MD5: c1316f2bfd47778dffda8edd20fe4bd2
column	type	nonmissing	distinct	min	max
hud_id	character	28196	28196	NA	NA
project_name	character	27745	26123	NA	NA
state_project_id	character	27638	26398	NA	NA
street	character	27766	27268	NA	NA
city	character	28176	5429	NA	NA
state	character	28196	51	NA	NA
zip	integer	26803	9118	1002	99999
pis_year	integer	27254	39	1987	2024
allocation_year	integer	27461	39	1987	2024
total_units	integer	27886	419	1	1238
low_income_units	integer	27503	378	0	769
bedrooms_0	integer	20845	170	0	476
bedrooms_1	integer	20845	228	0	482
bedrooms_2	integer	20845	218	0	331
bedrooms_3	integer	20845	157	0	228
bedrooms_4	integer	20845	92	0	161
credit_type	integer	24549	5	1	4
target_family	integer	18288	4	0	2
target_elderly	integer	16712	4	0	2
target_disabled	integer	16546	4	0	2
longitude	numeric	27394	26383	-163.871442	-67.029107
latitude	numeric	27394	26354	19.6497	64.845532
location_source	character	28196	3	NA	NA
location_status	character	28196	8	NA	NA
location_available	logical	28196	2	NA	NA
address_resolved	logical	28196	2	NA	NA
scattered_site	integer	24329	3	1	2
resyndicated	integer	7127	3	1	2
units_conflict	logical	28196	2	NA	NA
bedrooms_consistent	logical	28196	2	NA	NA
records_at_address	integer	28196	8	1	16
first_record_count	integer	28196	7	1	9
selection_status	character	28196	3	NA	NA
repeat_address_review	logical	28196	2	NA	NA
construction_review	logical	28196	2	NA	NA
usable_location	logical	28196	2	NA	NA
confident_first	logical	28196	2	NA	NA
corroborated_first	logical	28196	2	NA	NA
exclusion_reason	character	28196	7	NA	NA
source_hud_ids	character	28196	28196	NA	NA
tied_characteristics_disagree	logical	28196	2	NA	NA
