Rows: 1077
Key: place_geoid, tract_geoid complete and unique
Saved-file MD5: 9124d236e06771c2d2b2a83e396334e4
column	type	nonmissing	distinct	min	max
place_geoid	integer	1077	2	1714000	2622000
tract_geoid	integer64	1077	1077	17031010100	26163985900
overlap_area	numeric	1077	1077	15223.3486995921	21666239.9275909
tract_area	numeric	1077	1077	22158.3048689123	21666239.9275897
city_overlap_share	numeric	1077	463	0.0130937421108419	1
edge_tract	logical	1077	2	NA	NA
city_name	character	1077	2	NA	NA
place_vintage	integer	1077	1	2024	2024
period_end	integer	1077	1	2024	2024
gisjoin	logical	0	1	NA	NA
state_fips	integer	1077	2	17	26
tract_name	character	1077	1077	NA	NA
source	character	1077	1	NA	NA
period_start	integer	1077	1	2020	2020
geography_vintage	integer	1077	1	2024	2024
income_dollar_year	integer	1077	1	2024	2024
housing_dollar_year	integer	1077	1	2024	2024
population	integer	1077	959	0	13521
housing_units	integer	1077	841	0	8687
nh_white	integer	1077	712	0	9263
nh_black	integer	1077	791	0	6445
nh_asian	integer	1077	375	0	6251
nh_asian_pacific_islander	logical	0	1	NA	NA
hispanic	integer	1077	681	0	7124
owner_occupied	integer	1077	718	0	3867
renter_occupied	integer	1077	750	0	5633
poverty_universe	integer	1077	965	0	13521
poverty_count	integer	1077	728	0	2882
population_25_plus	integer	1077	908	0	11788
college_graduates	integer	1077	797	0	10868
median_household_income_raw	integer	1077	1023	-666666666	250001
median_gross_rent_raw	integer	1077	740	-666666666	3501
median_home_value_raw	numeric	1077	944	-666666666	1556900
education_definition	character	1077	1	NA	NA
race_definition	character	1077	1	NA	NA
income_suppressed	logical	0	1	NA	NA
rent_suppressed	logical	0	1	NA	NA
occupied_units	integer	1077	825	0	8462
rent_universe	character	1077	1	NA	NA
home_value_universe	character	1077	1	NA	NA
median_household_income	integer	1035	1022	11864	249531
median_household_income_annotation	character	42	3	NA	NA
median_gross_rent	integer	1040	738	293	3433
median_gross_rent_annotation	character	37	4	NA	NA
median_home_value	numeric	1029	944	20800	1556900
median_home_value_annotation	character	48	2	NA	NA
census_sentinel_cells	integer	1077	5	0	6
population_moe	integer	1077	625	11	2145
nh_white_moe	integer	1077	494	1	1544
nh_black_moe	integer	1077	579	2	2045
nh_asian_moe	integer	1077	306	1	1432
hispanic_moe	integer	1077	543	2	1708
median_household_income_moe	integer	1035	1023	1781	133280
occupied_units_moe	integer	1077	327	11	824
owner_occupied_moe	integer	1077	309	9	750
renter_occupied_moe	integer	1077	335	11	765
housing_units_moe	integer	1077	326	11	796
poverty_universe_moe	integer	1077	637	11	2093
poverty_count_moe	integer	1077	529	11	1588
median_gross_rent_moe	integer	1040	416	24	1654
median_home_value_moe	integer	1029	1025	2234	726047
population_25_plus_moe	integer	1077	509	11	1795
male_bachelors	logical	0	1	NA	NA
male_bachelors_moe	logical	0	1	NA	NA
male_masters	logical	0	1	NA	NA
male_masters_moe	logical	0	1	NA	NA
male_professional	logical	0	1	NA	NA
male_professional_moe	logical	0	1	NA	NA
male_doctorate	logical	0	1	NA	NA
male_doctorate_moe	logical	0	1	NA	NA
female_bachelors	logical	0	1	NA	NA
female_bachelors_moe	logical	0	1	NA	NA
female_masters	logical	0	1	NA	NA
female_masters_moe	logical	0	1	NA	NA
female_professional	logical	0	1	NA	NA
female_professional_moe	logical	0	1	NA	NA
female_doctorate	logical	0	1	NA	NA
female_doctorate_moe	logical	0	1	NA	NA
college_graduates_moe	numeric	1077	1054	18.7349939951952	1627.22125109034
bachelors	integer	1077	686	0	5546
bachelors_moe	integer	1077	376	7	1366
masters	integer	1077	520	0	2821
masters_moe	integer	1077	296	2	754
professional	integer	1077	253	0	1851
professional_moe	integer	1077	186	2	999
doctorate	integer	1077	183	0	976
doctorate_moe	integer	1077	157	2	630
share_conflict_count	integer	1077	1	0	0
nh_white_share	numeric	1064	992	0	0.898218829516539
nh_black_share	numeric	1064	1030	0	1
nh_asian_share	numeric	1064	685	0	0.853495357728017
nh_asian_pacific_islander_share	logical	0	1	NA	NA
hispanic_share	numeric	1064	960	0	0.998545807077072
homeowner_share	numeric	1064	1063	0	1
poverty_share	numeric	1064	1061	0	0.745071068317286
college_share	numeric	1064	1061	0	0.973267326732673
vacant_units	integer	1077	405	0	1024
vacancy_share	numeric	1064	1044	0	0.609561752988048
income_factor_to_2024	integer	1077	1	1	1
housing_factor_to_2024	integer	1077	1	1	1
median_household_income_2024	integer	1035	1022	11864	249531
median_household_income_2024_moe	integer	1035	1023	1781	133280
median_gross_rent_2024	integer	1040	738	293	3433
median_gross_rent_2024_moe	integer	1040	416	24	1654
median_home_value_2024	numeric	1029	944	20800	1556900
median_home_value_2024_moe	integer	1029	1025	2234	726047
real_dollar_year	integer	1077	1	2024	2024
price_index_geography	character	1077	1	NA	NA
price_index_series	character	1077	1	NA	NA
boundary_year	integer	1077	1	2024	2024
siting_window_start	integer	1077	1	2025	2025
siting_window_end	logical	0	1	NA	NA
new_lihtc_projects	logical	0	1	NA	NA
new_lihtc_projects_known_units	logical	0	1	NA	NA
new_lihtc_units_known	logical	0	1	NA	NA
new_lihtc_units_per_1000_housing	logical	0	1	NA	NA
lihtc_projects_all_years	integer	1077	10	0	10
lihtc_projects_known_units	integer	1077	10	0	10
lihtc_units_known	integer	1077	113	0	979
lihtc_projects_missing_pis_year	integer	1077	2	0	1
city_lihtc_projects	integer	1077	10	0	10
city_lihtc_projects_known_units	integer	1077	10	0	10
city_lihtc_units_known	integer	1077	113	0	979
income_quintile	integer	1035	6	1	5
