National tracts: 73056
Archive MD5: 8148a03a672b9c71ccf74e94bd89517c
     state tracts
    <char>  <int>
 1:     01   1181
 2:     02    167
 3:     04   1526
 4:     05    686
 5:     06   8057
 6:     08   1249
 7:     09    833
 8:     10    218
 9:     11    179
10:     12   4245
11:     13   1969
12:     15    351
13:     16    298
14:     17   3123
15:     18   1511
16:     19    825
17:     20    770
18:     21   1115
19:     22   1148
20:     23    358
21:     24   1406
22:     25   1478
23:     26   2813
24:     27   1338
25:     28    664
26:     29   1393
27:     30    271
28:     31    532
29:     32    687
30:     33    295
31:     34   2010
32:     35    499
33:     36   4918
34:     37   2195
35:     38    205
36:     39   2952
37:     40   1046
38:     41    834
39:     42   3218
40:     44    244
41:     45   1103
42:     46    222
43:     47   1497
44:     48   5265
45:     49    588
46:     50    184
47:     51   1907
48:     53   1458
49:     54    484
50:     55   1409
51:     56    132
     state tracts
