mixed_site_question_id,development_id,development_name,development_anchor_hud_id,first_pis_year,last_pis_year,episode_unit_count_max,n_units_development,complete_site_key_examples,review_cluster_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,cluster_status,member_action,episode_to_property_bridge_status,shared_geocoding_query_decision,source_rows_changed
MSIR_0011,DEV_GAA19950295,AUGUSTA SPRING APARTMENTS,GAA19950295,1995,1995,100,100,GA|1730 SIBLEY RD BLDG 1|AUGUSTA | GA|1730 SIBLEY RD|AUGUSTA,MSIC_00014,DEV_GAA19950295,GAA19950295,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0011,DEV_GAA20010140,AUGUSTA SPRINGS SENIOR II,GAA20010140,2001,2001,100,100,GA|1730 SIBLEY RD|AUGUSTA,MSIC_00014,DEV_GAA19950295,GAA19950295,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0011,DEV_GAA20019007,AUGUSTA SPRINGS,GAA20019007,2001,2001,100,100,GA|1730 SIBLEY RD STE 31|AUGUSTA | GA|1730 SIBLEY RD|AUGUSTA,MSIC_00014,DEV_GAA19950295,GAA19950295,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0012,DEV_GAA20030175,BLOUNT CROSSING APARTMENTS / 2001-001,GAA20030175,2003,2003,40,40,GA|232 BLOUNT CROSSING RD|DARIEN,MSIC_00015,DEV_GAA20030175,GAA20030175,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0012,DEV_GAA20039009,BLOUNT CROSSING APARTMENTS,GAA20039009,2003,2003,40,40,GA|1263 BLOUNT CROSSING RD SE|DARIEN | GA|232 BLOUNT CROSSING RD|DARIEN,MSIC_00015,DEV_GAA20030175,GAA20030175,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0012,DEV_GAA20039011,BLOUNT CROSSING APARTMENTS PREDEVELOPMENT,GAA20039011,2003,2003,40,40,GA|232 BLOUNT CROSSING RD|DARIEN,MSIC_00015,DEV_GAA20030175,GAA20030175,3,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0013,DEV_GAA20120100,KINGSLAND III,GAA20120100,2012,2012,28,28,GA|100 CANEY PL|KINGSLAND,MSIC_00016,DEV_GAA20120100,GAA20120100,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0013,DEV_GAA20125004,CANEY HEIGHTS (AKA KINGSLAND III),GAA20125004,2012,2012,28,28,GA|100 CANEY PL|KINGSLAND | GA|102 CANEY PL|KINGSLAND | GA|103 CANEY PL|KINGSLAND | GA|104 CANEY PL|KINGSLAND | GA|105 CANEY PL|KINGSLAND | GA|106 CANEY PL|KINGSLAND | GA|107 CANEY PL|KINGSLAND | GA|108 CANEY PL|KINGSLAND | GA|109 CANEY PL|KINGSLAND | GA|110 CANEY PL|KINGSLAND | GA|111 CANEY PL|KINGSLAND | GA|112 CANEY PL|KINGSLAND | GA|114 CANEY PL|KINGSLAND | GA|116 CANEY PL|KINGSLAND | GA|118 CANEY PL|KINGSLAND | GA|119 CANEY PL|KINGSLAND | GA|120 CANEY PL|KINGSLAND | GA|122 CANEY PL|KINGSLAND | GA|124 CANEY PL|KINGSLAND | GA|125 CANEY PL|KINGSLAND | GA|126 CANEY PL|KINGSLAND | GA|127 CANEY PL|KINGSLAND | GA|128 CANEY PL|KINGSLAND | GA|129 CANEY PL|KINGSLAND | GA|130 CANEY PL|KINGSLAND | GA|131 CANEY PL|KINGSLAND | GA|132 CANEY PL|KINGSLAND | GA|133 CANEY PL|KINGSLAND | GA|201 CANEY HEIGHTS CT|KINGSLAND,MSIC_00016,DEV_GAA20120100,GAA20120100,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0014,DEV_GAA20010040,COLUMBIA CREEK,GAA20010040,2001,2001,172,172,GA|100 SANDY CIR|WOODSTOCK,MSIC_00017,DEV_GAA20010040,GAA20010040,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0014,DEV_GAA20019033,RIVERSTOCK FKA COLUMBIA CREEK,GAA20019033,2001,2001,172,172,GA|100 SANDY CIR|WOODSTOCK | GA|50 SANDY CIR|WOODSTOCK,MSIC_00017,DEV_GAA20010040,GAA20010040,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0015,DEV_GAA20120055,FARMINGTON HILLS PHASE I,GAA20120055,2012,2012,72,72,GA|1506 FARMINGTON WAY|WINDER,MSIC_00018,DEV_GAA20120055,GAA20120055,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0015,DEV_GAA20125012,FARMINGTON HILLS,GAA20125012,2012,2012,72,72,GA|1505 FARMINGTON WAY|WINDER | GA|1506 FARMINGTON WAY|WINDER,MSIC_00018,DEV_GAA20120055,GAA20120055,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
MSIR_0016,DEV_GAA20100035,OCONEE PARK,GAA20100035,2010,2010,117,117,GA|200 RIVERVIEW DR|DUBLIN,MSIC_00019,DEV_GAA20100035,GAA20100035,2,final_physical_development,merge_to_review_cluster,not_required,not_approved,FALSE
