Rows: 28456
Key: hud_id complete and unique
Saved-file MD5: b7d2219ebeb7d3f24db8297d7ef01260
column	type	nonmissing	distinct	min	max
hud_id	character	28456	28456	NA	NA
state	character	28456	51	NA	NA
boundary_year	integer	28456	1	1980	1980
hud_tract_source	logical	0	1	NA	NA
tract_geoid	character	24198	11871	NA	NA
assignment_method	character	28456	2	NA	NA
point_candidates	integer	28456	2	0	1
hud_tract_in_boundary_file	logical	28456	1	NA	NA
hud_tract_disagrees	logical	0	1	NA	NA
assigned_state_fips	integer	24198	52	1	56
