identity_question_id,development_id,development_name,first_pis_year,n_units_development,review_cluster_id,development_anchor_hud_id,adjudicated_development_id,adjudicated_development_anchor_hud_id,n_review_cluster_members,review_cluster_question_count,member_action,shared_geocoding_query_decision,source_rows_changed
XDA2_0001,DEV_AKA20069004,AURORA VISTA KENAI I-III,2006,48,XDA2C_0001,AKA20069004,DEV_AKA20069004,AKA20069004,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0001,DEV_AKA20070005,AURORA VISTA,2007,48,XDA2C_0001,AKA20070005,DEV_AKA20069004,AKA20069004,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0002,DEV_AKA20070015,CARLANNA,2007,24,XDA2C_0002,AKA20070015,DEV_AKA20070015,AKA20070015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0002,DEV_AKA20079027,CARLANNA SUBDIVISION,2007,24,XDA2C_0002,AKA20079027,DEV_AKA20070015,AKA20070015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0003,DEV_AKA20010015,CHESTER PARK ESTATES,2001,180,XDA2C_0003,AKA20010015,DEV_AKA20010015,AKA20010015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0003,DEV_AKA20019009,CHESTER PARK,2001,180,XDA2C_0003,AKA20019009,DEV_AKA20010015,AKA20010015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0004,DEV_AKA20130092,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",2013,24,XDA2C_0004,AKA20130092,DEV_AKA20130092,AKA20130092,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0004,DEV_AKA20138001,HARBOR RIDGE,2013,24,XDA2C_0004,AKA20138001,DEV_AKA20130092,AKA20130092,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0005,DEV_AKA20020010,"HUNTER CREEK APTS. OF PALMER, LP",2002,32,XDA2C_0005,AKA20020010,DEV_AKA20020010,AKA20020010,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0005,DEV_AKA20029001,HUNTER CREEK APTS,2002,32,XDA2C_0005,AKA20029001,DEV_AKA20020010,AKA20020010,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0006,DEV_AKA20060015,MANOKOTAK,2006,12,XDA2C_0006,AKA20060015,DEV_AKA20060015,AKA20060015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0006,DEV_AKA20069005,MANOKOTAK VIEW,2006,12,XDA2C_0006,AKA20069005,DEV_AKA20060015,AKA20060015,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0007,DEV_AKA20060020,MOUNTAIN VIEW VILLAGE II,2006,47,XDA2C_0007,AKA20060020,DEV_AKA20060020,AKA20060020,1,1,retain_current_development,not_approved,FALSE
XDA2_0007,DEV_AKA20070025,MOUNTAIN VIEW VILLAGE III,2007,38,XDA2C_0008,AKA20070025,DEV_AKA20070025,AKA20070025,1,1,retain_current_development,not_approved,FALSE
XDA2_0008,DEV_AKA20039048,MUKLUNG MANOR,2003,16,XDA2C_0009,AKA20039048,DEV_AKA20039048,AKA20039048,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0008,DEV_AKA20040020,MUKLUNG APTS,2004,16,XDA2C_0009,AKA20040020,DEV_AKA20039048,AKA20039048,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0009,DEV_AKA20030035,PARKVIEW-SOLDOTNA ASSOCIATES LP,2003,26,XDA2C_0010,AKA20030035,DEV_AKA20030035,AKA20030035,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0009,DEV_AKA20039005,PARKVIEW APTS,2003,26,XDA2C_0010,AKA20039005,DEV_AKA20030035,AKA20030035,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0010,DEV_AKA19970035,SOUND VIEW ASSOCIATES,1997,20,XDA2C_0011,AKA19970035,DEV_AKA19970035,AKA19970035,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0010,DEV_AKA19979001,SOUND VIEW APTS,1997,20,XDA2C_0011,AKA19979001,DEV_AKA19970035,AKA19970035,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0011,DEV_AKA20203005,SPRUCE CAPE I,2020,30,XDA2C_0012,AKA20203005,DEV_AKA20203005,AKA20203005,1,1,retain_current_development,not_approved,FALSE
XDA2_0011,DEV_AKA20203006,SPRUCE CAPE II,2020,20,XDA2C_0013,AKA20203006,DEV_AKA20203006,AKA20203006,1,1,retain_current_development,not_approved,FALSE
XDA2_0012,DEV_AKA20158007,TERRACE I @ LAWSON CREEK,2015,40,XDA2C_0014,AKA20158007,DEV_AKA20153001,AKA20153001,2,2,merge_to_review_cluster,not_approved,FALSE
XDA2_0012,DEV_AKA20176004,TERRACE II @ LAWSON CREEK,2017,35,XDA2C_0015,AKA20176004,DEV_AKA20171001,AKA20171001,2,2,merge_to_review_cluster,not_approved,FALSE
XDA2_0013,DEV_AKA20153001,TERRACES AT LAWSON CREEK,2015,40,XDA2C_0014,AKA20153001,DEV_AKA20153001,AKA20153001,2,2,merge_to_review_cluster,not_approved,FALSE
XDA2_0013,DEV_AKA20171001,TERRACES AT LAWSON CREEK II,2017,35,XDA2C_0015,AKA20171001,DEV_AKA20171001,AKA20171001,2,2,merge_to_review_cluster,not_approved,FALSE
XDA2_0014,DEV_AKA20090010,WEEKS FIELD ESTATES PHASE I,2009,74,XDA2C_0016,AKA20090010,DEV_AKA20090010,AKA20090010,1,1,retain_current_development,not_approved,FALSE
XDA2_0014,DEV_AKA20110020,WEEKS FIELD ESTATES PHASE II,2011,56,XDA2C_0017,AKA20110020,DEV_AKA20110020,AKA20110020,1,1,retain_current_development,not_approved,FALSE
XDA2_0015,DEV_ARA19970020,BENTONVILLE II,1997,20,XDA2C_0018,ARA19970020,DEV_ARA19970020,ARA19970020,1,1,retain_current_development,not_approved,FALSE
XDA2_0015,DEV_ARA19980694,BENTONVILLE III,1998,11,XDA2C_0019,ARA19980694,DEV_ARA19980694,ARA19980694,1,1,retain_current_development,not_approved,FALSE
XDA2_0016,DEV_ARA20110824,BLUFFS ON MCCAIN II FKA NORTH PARK APARTMENTS,2011,64,XDA2C_0020,ARA20110824,DEV_ARA20110824,ARA20110824,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0016,DEV_ARA20119003,BLUFFS ON MCCAIN II FKA NORTHPARK APARTMENTS,2011,64,XDA2C_0020,ARA20119003,DEV_ARA20110824,ARA20110824,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0017,DEV_ARA20080025,BROADWAY TERRACE (WEST MEMPHIS),2008,27,XDA2C_0021,ARA20080025,DEV_ARA20080025,ARA20080025,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0017,DEV_ARA20089005,BROADWAY TERRACE,2008,27,XDA2C_0021,ARA20089005,DEV_ARA20080025,ARA20080025,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0018,DEV_ARA20000720,CHAPEL RIDGE OF TEXARKANA,2000,144,XDA2C_0022,ARA20000720,DEV_ARA20000720,ARA20000720,1,1,retain_current_development,not_approved,FALSE
XDA2_0018,DEV_ARA20040025,CHAPEL RIDGE OF TEXARKANA II,2004,72,XDA2C_0023,ARA20040025,DEV_ARA20040025,ARA20040025,1,1,retain_current_development,not_approved,FALSE
XDA2_0019,DEV_ARA20183216,COLONY SQUARE AT SPRINGDALE PHASE I,2018,64,XDA2C_0024,ARA20183216,DEV_ARA20183216,ARA20183216,1,1,retain_current_development,not_approved,FALSE
XDA2_0019,DEV_ARA20183217,COLONY SQUARE AT SPRINGDALE PHASE II,2018,56,XDA2C_0025,ARA20183217,DEV_ARA20183217,ARA20183217,1,1,retain_current_development,not_approved,FALSE
XDA2_0020,DEV_ARA20147051,CYPRESS GROVE - LAKE VILLAGE,2014,36,XDA2C_0026,ARA20147051,DEV_ARA20147051,ARA20147051,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0020,DEV_ARA20185224,CYPRESS GROVE OF LAKE VILLAGE,2018,37,XDA2C_0026,ARA20185224,DEV_ARA20147051,ARA20147051,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0021,DEV_ARA20160002,ELLISTON PLACE FKA ROSS APARTMENTS,2016,50,XDA2C_0027,ARA20160002,DEV_ARA20160002,ARA20160002,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0021,DEV_ARA20163002,ELLISTON FKA ROSS APARTMENTS,2016,50,XDA2C_0027,ARA20163002,DEV_ARA20160002,ARA20160002,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0022,DEV_ARA19960048,GARDEN WALK ON ELFEN GLEN I,1996,80,XDA2C_0028,ARA19960048,DEV_ARA19960048,ARA19960048,1,1,retain_current_development,not_approved,FALSE
XDA2_0022,DEV_ARA20130004,GARDEN WALK ON ELFEN GLEN II,2013,54,XDA2C_0029,ARA20130004,DEV_ARA20130004,ARA20130004,1,1,retain_current_development,not_approved,FALSE
XDA2_0023,DEV_ARA20150002,HICKY GARDENS,2015,56,XDA2C_0030,ARA20150002,DEV_ARA20150002,ARA20150002,2,1,merge_to_review_cluster,not_approved,FALSE
XDA2_0023,DEV_ARA20152005,HICKY GARDEN,2015,56,XDA2C_0030,ARA20152005,DEV_ARA20150002,ARA20150002,2,1,merge_to_review_cluster,not_approved,FALSE
