"source_page","source_url","retrieved_at_utc","source_file","bytes","source_sha256"
0,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=0","2026-08-12T21:30:29Z","awarded_projects_page_0.html",99898,"12237bb62d524a2fc7fbb90a99fd918e3a70d63f97078c515f3aa8fc94e7ddb1"
1,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=1","2026-08-12T21:30:30Z","awarded_projects_page_1.html",100419,"49b570858c28acbf84bc336aac5ef623e2b5a37a1f6db521e811fc4657d39918"
2,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=2","2026-08-12T21:30:30Z","awarded_projects_page_2.html",100434,"381cc3366d1b1d91e58a165b5668a81450a3fd2049138260d961bbce361125a3"
3,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=3","2026-08-12T21:30:31Z","awarded_projects_page_3.html",100434,"92c811fa271719279dcaffe6bd9917a070f4d1f099400d618418d602c6d90f0c"
4,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=4","2026-08-12T21:30:31Z","awarded_projects_page_4.html",100293,"dd0c34d04f5291c6d040b4a31dd271757e2520141c88f057b14701a1a72b6535"
5,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=5","2026-08-12T21:30:32Z","awarded_projects_page_5.html",100552,"cfbd6a8990d6d8b7ac9ae3100ec602554e0e08b7af042f124ed60860f49b909c"
6,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=6","2026-08-12T21:30:32Z","awarded_projects_page_6.html",100480,"8a8e90a7bb4ab5aa8e4b93580d49500adaf64d251e00a9538a3da6e5b76618d7"
7,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=7","2026-08-12T21:30:33Z","awarded_projects_page_7.html",100611,"3ecec29ca284e17800481b59e550b8f8e26d3a5ba60168737d24738d1c3e4f95"
8,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=8","2026-08-12T21:30:34Z","awarded_projects_page_8.html",100430,"faa7698193ee8a84c95cd7dcaa6c39924cd7cc44512f6d4a7c56718331f94639"
9,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=9","2026-08-12T21:30:34Z","awarded_projects_page_9.html",100439,"3c927cb2d48174308b2873a55ae148c474ff757e08cb0491234ff2444772e30b"
10,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=10","2026-08-12T21:30:35Z","awarded_projects_page_10.html",100541,"3ccc607236d6534bb15a9366bb3f1e70d06d96e738d1254a9041068d054479f8"
11,"https://housingbuildsnc.com/rental-housing-partners/rental-developers/find-awarded-projects?page=11","2026-08-12T21:30:35Z","awarded_projects_page_11.html",100592,"28d3d81798064575ecab5e9999d6dafc7f672a51bcb48bc402d8447b076bd2e6"
