development_id,wheda_project_id,proposed_total_units,proposed_low_income_units,review_action,official_wheda_reviewer,official_wheda_reviewed_on,official_wheda_record_confirmation,internal_identity_reviewer,internal_identity_reviewed_on,internal_identity_address_confirmation,source_url,source_file,source_sha256,review_reason,reviewed_on
DEV_WIA20070005,51797,61,51,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_has_exact_site_address,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070010,50313,54,54,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070020,51798,49,39,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070025,51771,80,80,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070030,51764,40,40,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070035,51792,22,22,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070045,51799,63,50,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070080,51788,62,62,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070095,51751,71,56,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
DEV_WIA20070105,51806,184,184,propose_direct_wheda_low_income_value,wheda_snapshot_read,2026-08-12,unique_name_year_total_match,internal_development_site_read,2026-08-12,matched_development_identity_previously_adjudicated_site_address_differs,https://www.wheda.com/developers-and-property-managers/tax-credits/multifamily-data-library/monitored-htc-projects,wheda_monitored_htc_projects.html,ba00414cf334e76c060d65ca8bcbda9ef6b2f50b260b3bdfca58af9bff2da25c,direct_value_proposed_not_applied,2026-08-12
