Rows: 27210
Key: hud_id complete and unique
Saved-file MD5: d835bc5c8542ffbf9ab0c4895054be94
column	type	nonmissing	distinct	min	max
hud_id	character	27210	27210	NA	NA
project_name	character	26759	25240	NA	NA
state_project_id	character	26679	25547	NA	NA
street	character	27203	26726	NA	NA
city	character	27210	5231	NA	NA
state	character	27210	51	NA	NA
zip	integer	26773	9108	1002	99999
pis_year	integer	26319	39	1987	2024
allocation_year	integer	26483	39	1987	2024
total_units	integer	26918	419	1	1238
low_income_units	integer	26555	377	0	769
bedrooms_0	integer	20651	177	0	476
bedrooms_1	integer	21305	232	0	482
bedrooms_2	integer	21362	220	0	331
bedrooms_3	integer	20991	157	0	228
bedrooms_4	integer	20390	92	0	161
credit_type	integer	23779	5	1	4
target_family	integer	16618	3	0	1
target_elderly	integer	12747	3	0	1
target_disabled	integer	11084	3	0	1
longitude	numeric	27210	26197	-163.871442	-67.029107
latitude	numeric	27210	26168	19.6497	64.845532
address_resolved	logical	27210	2	NA	NA
scattered_site	integer	23373	3	1	2
resyndicated	integer	6933	3	1	2
units_conflict	logical	27210	2	NA	NA
bedrooms_conflict	logical	27210	2	NA	NA
bedrooms_consistent	logical	27210	2	NA	NA
records_at_address	integer	27210	7	1	16
first_record_count	integer	27210	6	1	8
selection_status	character	27210	3	NA	NA
tied_coordinates_disagree	logical	27210	2	NA	NA
source_hud_ids	character	27210	27210	NA	NA
tied_characteristics_disagree	logical	27210	2	NA	NA
