Rows: 25832
Key: hud_id complete and unique
Saved-file MD5: a329a496c2e72873a540878f1b89d417
column	type	nonmissing	distinct	min	max
hud_id	character	25832	25832	NA	NA
project_name	character	25415	24007	NA	NA
state_project_id	character	25328	24275	NA	NA
street	character	25825	25412	NA	NA
city	character	25832	5119	NA	NA
state	character	25832	51	NA	NA
zip	integer	25337	8860	1002	99999
pis_year	integer	25832	38	1987	2024
allocation_year	integer	25201	39	1987	2024
total_units	integer	25583	417	1	1238
low_income_units	integer	25200	375	0	496
bedrooms_0	integer	19363	168	0	476
bedrooms_1	integer	19363	227	0	482
bedrooms_2	integer	19363	218	0	331
bedrooms_3	integer	19363	156	0	228
bedrooms_4plus	integer	19363	91	0	161
credit_type	integer	22777	5	1	4
target_family	integer	16844	4	0	2
target_elderly	integer	15419	4	0	2
target_disabled	integer	15305	4	0	2
longitude	numeric	25832	24970	-163.871442	-67.029107
latitude	numeric	25832	24949	19.6497	64.845532
location_source	character	25832	2	NA	NA
location_status	character	25832	5	NA	NA
location_available	logical	25832	1	NA	NA
address_resolved	logical	25832	2	NA	NA
scattered_site	integer	22341	2	2	2
resyndicated	integer	6286	2	2	2
units_conflict	logical	25832	2	NA	NA
bedrooms_consistent	logical	25832	2	NA	NA
records_at_address	integer	25832	7	1	16
first_record_count	integer	25832	6	1	8
selection_status	character	25832	3	NA	NA
repeat_address_review	logical	25832	2	NA	NA
construction_review	logical	25832	1	NA	NA
usable_location	logical	25832	1	NA	NA
confident_first	logical	25832	1	NA	NA
corroborated_first	logical	25832	2	NA	NA
exclusion_reason	character	25832	1	NA	NA
source_hud_ids	character	25832	25832	NA	NA
tied_characteristics_disagree	logical	25832	2	NA	NA
